Num,type,ra,dec,plx,e_plx,GAIAmag,e_GAIAmag,pmRA.1,pmDEC,e_pmRA,e_pmDEC,MASS,massSrc,RAD,radSrc,TEFF,TeffSrc,MH,mhSrc,LOGG,loggSrc,lum,e_lum,lumclass,Tmag,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag.1,e_gmag,rmag.1,e_rmag,imag.1,e_imag,zmag.1,e_zmag,Jmag.1,e_Jmag,Hmag.1,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,e_Tmag,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,VmagFlag,BmagFlag,splists,e_RA,e_DEC,RA_orig,DEC_orig,e_RA_orig,e_DEC_orig,raddflag,wdflag,objID,_RAJ2000.1,_DEJ2000.1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,BP-RP,RV.1,e_RV,PM,RUWE,GamgCorr,e_GmagCorr,FGCorr,RAJ2000,DEJ2000,Dup,AG,E(BP-RP),Gaialum,B-V,objType,typeSrc,PS1,SDSSDR13,SkyMapper2,URAT1,TIC,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,APASS,KIC
1,1,354.8357808,77.63312481,72.5167,0.147,2.942957,0.003051,,,,,2.013422953,Estimated,4.606506944,Estimated,4833.6,TESS,0.0489,TESS,,,10.3780304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367912480,,,,,,,,
2,1,48.01887219,-28.98761906,71.4337,0.132,3.801439,0.002866,,,,,1.18,TESS,1.798,TESS,6080.9,GAIA DR3,-0.5576,GAIA DR3,4.018,GAIA DR3,4.25005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88523071,,,,,,,,
3,1,182.1038798,-24.72905348,66.7696,0.1804,3.946629,0.003061,,,,,1.52,TESS,1.43,TESS,6900.2,GAIA DR3,-0.5055,GAIA DR3,4.1915,GAIA DR3,4.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421189312,,,,,,,,
4,1,64.1205346,-59.30290022,54.2286,0.1019,4.134786,0.003016,,,,,1.623839198,Estimated,3.539,TESS,4850.7,TESS,0.391,TESS,,,7.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198079199,,,,,,,,
5,1,142.2877319,-2.76907841,54.9187,0.4523,4.465013,0.002919,,,,,1.377749751,Estimated,2.492,TESS,6353.5,GAIA DR3,-0.5275,GAIA DR3,4.0357,GAIA DR3,3.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77549389,,,,,,,,
6,1,258.835117,-26.60789783,168.1303,0.1081,4.828591,0.002851,,,,,0.718351749,Estimated,0.76,GAIA,4997,GAIA DR3,-0.3685,GAIA DR3,4.5379,GAIA DR3,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84405,,,,,,,
7,1,92.56235755,-74.75398809,97.9158,0.0573,4.90014,0.002917,,,,,0.99,TESS,0.992,TESS,5495.9,GAIA DR3,0.0765,GAIA DR3,4.3686,GAIA DR3,0.86555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141810080,,,,,,,,
8,1,118.0641914,-34.70437854,54.5631,0.0665,4.940166,0.002823,,,,,1.24390124,Estimated,1.29,GAIA,6421.1,GAIA DR3,-0.8309,GAIA DR3,4.1547,GAIA DR3,2.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07521555-3442199,,,,
9,1,214.7519594,-25.81380529,55.59,0.0531,5.732926,0.002832,,,,,1.17,TESS,0.968,TESS,6044.9,GAIA DR3,-1.2125,GAIA DR3,4.361,GAIA DR3,1.20833,0.04032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83391616,,,,,,,,
10,1,223.3469462,19.15376086,85.9932,0.5516,5.766141,0.002894,,,,,0.80008742,Estimated,0.912,TESS,4996.1,GAIA DR3,-0.5225,GAIA DR3,4.396,GAIA DR3,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267365256,,,,,,,,
