num,type,ra,dec,tic,hip,sdss,apass,kic,dis,teff,lum,mass,rad,mas_IHZ,mas_OHZ,AU_IHZ,AU_OHZ,TRp_IHZ,TRp_OHZ,TRt_IHZ,TRt_OHZ,TRD,Ast_max_IHZ,Ast_max_OHZ,RV_max_IHZ,RV_max_OHZ,RV_E_IHZ,RV_E_OHZ,BR_IR_IHZ,BR__IR_OHZ,RR_IHZ,RR_OHZ,MDTV_IHZ,MDTV_OHZ,MDTIR_IHZ,MDTIR_OHZ,Detect_TR,Detect_RV,Tplanet,500nm,4000nm,7500nm,11000nm,tmag,RVE,MEAN,STD
97,2,300.642493,15.58965896,0,0,0,10143204,0,19.2773314,3279.79042,0.006668499,0.247680876,0.253616532,4.543392913,9.177983564,0.087584491,0.176927031,0.014478393,0.007167264,1.960596754,2.786581625,0.001299638,0.055031212,0.111167043,0.607426448,0.427376077,0.477071617,0.335660386,1.50E-05,3.58E-06,6.68E-08,1.64E-08,32.49473829,16.08592591,560.2541084,277.3435502,0,0,2.409250587,1.47E-08,2.41E-08,1.30E-06,6.67E-06,12.654424,0.494310691,1.13E-05,1.95E-05
96,2,39.19765892,32.07221803,0,0,0,0,0,19.50644786,3285.360096,0.006826124,0.249316844,0.255727132,4.54252427,9.173147373,0.088608513,0.178935521,0.014430167,0.00714579,1.981901534,2.816388945,0.001278274,0.054659656,0.110379394,0.601921708,0.423574151,0.472748204,0.33267436,1.47E-05,3.51E-06,6.53E-08,1.60E-08,32.50095208,16.0944066,560.3612428,277.489769,0,0,2.435157118,1.43E-08,2.36E-08,1.28E-06,6.55E-06,12.650045,0.489886072,9.59E-06,1.66E-05
93,2,254.7900728,20.97164757,0,0,0,0,0,19.62531351,3309.213574,0.007541007,0.256414169,0.264923671,4.744375864,9.566996774,0.093109864,0.187755311,0.014226402,0.007055025,2.075348103,2.947061658,0.001191066,0.055508351,0.111932154,0.57900816,0.407742907,0.454751946,0.32024053,1.36E-05,3.24E-06,5.91E-08,1.45E-08,31.11818454,15.43184001,536.5204231,266.0662071,0,0,2.548748925,1.30E-08,2.16E-08,1.18E-06,6.05E-06,12.5353,0.471464049,8.02E-06,1.38E-05
92,2,324.504314,27.72434353,0,0,0,0,0,12.62227832,3136.223847,0.003611064,0.208193965,0.204107582,5.113374326,10.41920362,0.064542434,0.131514088,0.015811891,0.007759913,1.477376176,2.108893075,0.002006592,0.073681881,0.150136969,0.771785833,0.54067132,0.606159176,0.424642262,2.44E-05,5.84E-06,1.23E-07,2.96E-08,28.87259063,14.16963993,497.8032867,244.3041367,0,0,1.820723808,2.67E-08,4.24E-08,2.13E-06,1.09E-05,12.531262,0.626244353,6.56E-06,1.13E-05
88,2,357.6539217,9.949257099,0,0,0,0,0,19.68170743,3339.216108,0.00853801,0.265552713,0.276850281,5.032210154,10.12908283,0.099042488,0.199357645,0.013976339,0.006943558,2.197979919,3.118382587,0.001090655,0.056849845,0.114430194,0.551654796,0.388831751,0.433268663,0.305387743,1.23E-05,2.94E-06,5.23E-08,1.29E-08,29.33827466,14.57549179,505.8323217,251.3015826,0,0,2.697723641,1.15E-08,1.92E-08,1.06E-06,5.48E-06,12.382195,0.449462704,5.24E-06,9.04E-06
86,2,275.2359401,-1.053560711,0,0,0,0,0,17.78792876,3314.222327,0.007699635,0.25792331,0.266887026,5.288931299,10.66186916,0.094079133,0.189652569,0.014184178,0.007036209,2.095425242,2.975122708,0.001173607,0.061517487,0.124012085,0.574330116,0.404509642,0.451077818,0.31770113,1.33E-05,3.19E-06,5.79E-08,1.43E-08,27.91421467,13.84713707,481.2795632,238.7437425,0,0,2.573146136,1.27E-08,2.11E-08,1.16E-06,5.95E-06,12.295122,0.467702089,4.07E-06,7.01E-06
83,2,228.9314418,-7.423666184,0,0,0,0,0,17.49971125,3312.370194,0.007640623,0.257364494,0.266159716,5.355501867,10.79727296,0.093719736,0.188949159,0.014199769,0.007043157,2.087982671,2.964721091,0.001180029,0.062427048,0.125859703,0.576054661,0.40570162,0.452432273,0.318637308,1.34E-05,3.21E-06,5.84E-08,1.44E-08,27.56723222,13.67348627,475.2971073,235.7497633,0,0,2.564102453,1.28E-08,2.13E-08,1.16E-06,5.99E-06,12.269525,0.469088959,3.05E-06,5.25E-06
79,2,104.4909661,62.31971988,0,0,0,0,0,11.49014548,3167.755788,0.004137981,0.216434023,0.214164035,6.011246064,12.22548339,0.069070092,0.140472583,0.015503384,0.007622983,1.572795086,2.242967137,0.001822571,0.083322104,0.169457878,0.731721401,0.513091701,0.574692645,0.40298128,2.19E-05,5.24E-06,1.07E-07,2.60E-08,24.56002667,12.07611666,423.4487356,208.2089079,0,0,1.937083628,2.33E-08,3.74E-08,1.91E-06,9.77E-06,12.148522,0.59411365,2.19E-06,3.78E-06
78,2,11.43607193,-47.54863798,0,0,0,0,0,15.09454468,3278.402826,0.006629759,0.247274544,0.253092883,5.785597048,11.68830413,0.087330953,0.176429629,0.014490445,0.00717263,1.955319271,2.779197054,0.001305021,0.07019239,0.141805589,0.608807137,0.428329587,0.478156007,0.336409271,1.50E-05,3.60E-06,6.72E-08,1.65E-08,25.51791326,12.63111928,439.9640218,217.7779185,0,0,2.402832674,1.47E-08,2.43E-08,1.31E-06,6.71E-06,12.130782,0.495420401,1.50E-06,2.58E-06
76,2,99.90509625,-21.02553281,0,0,0,0,0,15.31205978,3304.415144,0.00961,0.288,0.296,6.86484666,13.84691425,0.105114942,0.212024779,0.014079825,0.006980316,2.324722119,3.301658332,0.0009541,0.071508819,0.14423869,0.514191707,0.362046194,0.403845222,0.284350416,1.09E-05,2.60E-06,4.64E-08,1.14E-08,21.5061415,10.66204072,370.7955431,183.8282883,0,0,2.855282882,1.02E-08,1.71E-08,9.44E-07,4.86E-06,12.022031,0.418646027,9.67E-07,1.66E-06
